,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.158915333219876,2.5383490428103392e-05,0.0195332019345718,0,0,0
0,1,0.1102359895364377,1.113148687615448e-05,0.01801590411519899,1,8,12
0,2,0.04961977937194981,0.00012221647083594456,0.014243142151887309,3,4,28
0,3,0.06604549215609044,1.356957979045803e-05,0.018739205107801245,5,10,36
0,4,0.06604549215609044,1.113148687615448e-05,0.017225796905533164,5,5,51
0,5,0.054538699608136905,0.0004419740788065926,0.017997205815594518,2,4,65
0,6,0.052980395631197816,1.356957979045803e-05,0.0183444339469625,5,9,74
0,7,0.0466750964250977,0.00020485392158005666,0.016914563378114478,1,6,88
0,8,0.052980395631197816,0.0004419740788065926,0.019616222999711403,1,9,95
0,9,0.04902456861385812,0.00020485392158005666,0.016297424125886074,1,4,109
0,10,0.06613246472634987,6.232449021384381e-16,0.014047493952220982,0,6,123
0,11,0.08415475742128092,2.380949872312688e-05,0.018254822402767223,2,4,135
0,12,0.08415475742128092,7.827902127537426e-05,0.01763558215725765,3,7,148
0,13,0.08415475742128092,0.0001300266442531566,0.01908094918447796,3,10,156
0,14,0.03553257862678659,0.00020485392158005666,0.01356820670200801,0,7,167
0,15,0.032854720887146735,7.256214972115208e-05,0.016710737727218913,6,8,177
0,16,0.06613246472634987,9.599463642517377e-05,0.016189671512506245,3,9,188
0,17,0.05298656045990815,0.0003724164741206029,0.014585195241140454,3,8,196
0,18,0.06613246472634987,1.113148687615448e-05,0.01731256744371173,0,12,204
0,19,0.03346955191687866,2.723947181737696e-06,0.0205492017810434,1,12,212
0,20,0.03132103638924015,0.00043746016120260685,0.022784800801667577,4,11,221
0,21,0.06986221972308483,4.09297286671355e-05,0.02493121890306018,2,13,226
0,22,0.06955402702605998,1.113148687615448e-05,0.024660647064498376,2,13,233
0,23,0.06731066018314891,0.0004419740788065926,0.023810236042660318,1,10,243
0,24,0.0722458917283643,0.0004419740788065926,0.024918855247373077,4,13,248
0,25,0.03132103638924015,0.0004419740788065926,0.024583631266017307,1,15,253
0,26,0.06480518095377996,0.0004419740788065926,0.025020161577816665,0,17,256
0,27,0.06480518095377996,0.0004419740788065926,0.026339357513274715,2,12,262
0,28,0.06480518095377996,0.0004419740788065926,0.029229279908493496,2,12,268
0,29,0.06480518095377996,4.09297286671355e-05,0.02773424874965334,1,15,271
0,30,0.06480518095377996,0.0004419740788065926,0.027005877586375036,1,10,279
0,31,0.054538699608136905,0.0004036737394457455,0.02626461509016649,4,15,282
0,32,0.03132103638924015,0.0004419740788065926,0.02406031211822242,5,15,285
0,33,0.03132103638924015,0.0004419740788065926,0.02572239252119,1,17,286
0,34,0.03132103638924015,0.0004419740788065926,0.027210080299145466,6,20,286
0,35,0.06604549215609044,0.00018924806444375398,0.02701160810381332,6,20,286
0,36,0.03132103638924015,0.0004419740788065926,0.025599573109262967,3,14,290
0,37,0.03132103638924015,0.0003724164741206029,0.025641551528113538,1,17,293
0,38,0.06480518095377996,0.0004419740788065926,0.0268315877009406,3,17,294
0,39,0.06604549215609044,0.0004419740788065926,0.027376060072955,2,13,297
0,40,0.06604549215609044,0.0004419740788065926,0.02946916019942428,4,13,302
0,41,0.06480518095377996,0.0004419740788065926,0.02763610464941916,5,9,311
0,42,0.07265501431658362,2.723947181737696e-06,0.026527547518505532,1,9,322
0,43,0.07265501431658362,4.09297286671355e-05,0.025872671477116235,0,8,334
0,44,0.07265501431658362,4.09297286671355e-05,0.02860975577804173,2,4,348
0,45,0.07265501431658362,1.356957979045803e-05,0.027235549888190783,1,4,364
0,46,0.07265501431658362,0.0002188766282482655,0.03102043663333502,2,9,373
0,47,0.07265501431658362,0.000260456638998673,0.03246951979113547,0,10,383
0,48,0.07265501431658362,4.290012929824804e-05,0.03930983233858468,3,11,390
0,49,0.08415475742128092,9.599463642517377e-05,0.037717987498180526,0,10,400
0,50,0.07265501431658362,4.290012929824804e-05,0.03319451803510485,3,8,410
0,51,0.07265501431658362,0.0004419740788065926,0.03738844214591181,5,7,421
0,52,0.1059676051491833,0.0004419740788065926,0.043329092422875456,7,8,431
0,53,0.1059676051491833,9.599463642517377e-05,0.0485214442960861,5,11,438
0,54,0.1059676051491833,0.0004419740788065926,0.04587876416700843,6,8,446
0,55,0.1059676051491833,0.0004419740788065926,0.05027578737715137,10,11,453
0,56,0.1059676051491833,0.0004419740788065926,0.04483635200906219,6,7,464
0,57,0.1059676051491833,7.827902127537426e-05,0.039595114341449814,2,8,476
0,58,0.1059676051491833,0.0004419740788065926,0.04662209749579584,4,11,483
0,59,0.07265501431658362,0.0004419740788065926,0.05283025553737316,6,16,487
0,60,0.07265501431658362,4.290012929824804e-05,0.046367967617512384,6,11,494
0,61,0.07265501431658362,0.0004419740788065926,0.04712016716621177,4,13,501
0,62,0.07265501431658362,0.00018744445845371883,0.051648002024109456,2,16,503
0,63,0.07265501431658362,0.0004419740788065926,0.058872606983962926,9,18,503
0,64,0.07265501431658362,0.0004419740788065926,0.05592185545838043,13,15,506
0,65,0.07265501431658362,0.0004419740788065926,0.056646018322138385,12,16,506
0,66,0.07265501431658362,3.2536703896502556e-05,0.05788406601088344,18,19,507
0,67,0.07265501431658362,0.0004419740788065926,0.05777172869136625,22,18,507
0,68,0.07265501431658362,0.0004419740788065926,0.05828058305127111,13,18,509
0,69,0.07265501431658362,0.0004419740788065926,0.056122926174475174,14,15,512
0,70,0.07265501431658362,0.0004419740788065926,0.047887312194500764,10,13,517
0,71,0.07265501431658362,0.00043746016120260685,0.05257571013100589,6,16,521
0,72,0.07265501431658362,0.0004419740788065926,0.051931014323707086,6,16,525
0,73,0.07265501431658362,0.0004419740788065926,0.05718730796099155,10,16,527
0,74,0.07265501431658362,4.290012929824804e-05,0.057943912688967196,11,18,529
0,75,0.07265501431658362,0.0004419740788065926,0.056344299034895864,6,17,532
0,76,0.07265501431658362,0.0004419740788065926,0.05629424296747918,9,16,534
0,77,0.07265501431658362,0.0004419740788065926,0.05482203223458757,7,15,539
0,78,0.07265501431658362,0.0004419740788065926,0.054774474006024275,7,15,542
0,79,0.07265501431658362,0.0004419740788065926,0.05249155968689749,12,15,545
0,80,0.07265501431658362,0.0004419740788065926,0.0551823694048825,9,16,549
0,81,0.07265501431658362,4.290012929824804e-05,0.0558328281567731,12,17,552
0,82,0.07265501431658362,0.0004419740788065926,0.05681020909869156,14,19,553
0,83,0.07265501431658362,0.0004419740788065926,0.05797987324200918,11,17,554
0,84,0.07265501431658362,0.0004419740788065926,0.05638204932488034,11,13,559
0,85,0.07265501431658362,4.290012929824804e-05,0.05353858451479951,6,16,563
0,86,0.07265501431658362,0.0004419740788065926,0.04898554669890599,3,14,567
0,87,0.07265501431658362,0.0004419740788065926,0.051134504328351295,11,13,572
0,88,0.07265501431658362,4.290012929824804e-05,0.05159554207698484,11,16,574
0,89,0.07265501431658362,1.356957979045803e-05,0.05296426125548056,12,14,580
0,90,0.07265501431658362,4.290012929824804e-05,0.04114303042513048,4,13,587
0,91,0.07265501431658362,0.00031796836904549107,0.04242707715670749,6,10,593
0,92,0.07265501431658362,4.290012929824804e-05,0.04753697183521056,6,15,596
0,93,0.07265501431658362,0.0004419740788065926,0.04869255265854989,10,12,602
0,94,0.07265501431658362,0.0004419740788065926,0.04482316055268874,6,8,612
0,95,0.1059676051491833,0.00018744445845371883,0.048596114514287,3,14,616
0,96,0.07265501431658362,0.0004419740788065926,0.04583533917215981,2,11,625
0,97,0.07265501431658362,4.290012929824804e-05,0.048259410485437186,4,16,627
0,98,0.07265501431658362,0.0004419740788065926,0.05204958238864103,7,16,631
0,99,0.07265501431658362,4.290012929824804e-05,0.05177558147514861,8,16,633
0,100,0.07265501431658362,0.0004419740788065926,0.05108839408826414,9,17,636
0,101,0.07265501431658362,4.290012929824804e-05,0.047174302084606906,4,12,642
0,102,0.07265501431658362,0.0004419740788065926,0.05323119020790226,8,17,645
0,103,0.07265501431658362,0.0004419740788065926,0.04986052022611126,7,15,650
0,104,0.07265501431658362,0.0004419740788065926,0.05338646857756071,11,15,653
0,105,0.07265501431658362,0.0004419740788065926,0.05134368543854794,4,15,656
0,106,0.07265501431658362,0.0004419740788065926,0.05246613750506365,1,16,660
0,107,0.07265501431658362,0.0004419740788065926,0.056381981669384046,6,15,663
0,108,0.07265501431658362,0.0004419740788065926,0.0590940689725916,6,20,663
0,109,0.07265501431658362,0.0004419740788065926,0.05474886413194471,8,16,665
0,110,0.07265501431658362,0.0004419740788065926,0.053421628783009975,6,16,669
0,111,0.07265501431658362,0.0004419740788065926,0.05844250004818926,6,19,670
0,112,0.07265501431658362,0.0004419740788065926,0.05762379111355751,4,17,671
0,113,0.07265501431658362,0.0004419740788065926,0.05365829954080277,1,15,674
0,114,0.07265501431658362,0.0002188766282482655,0.0576318168339651,0,18,674
0,115,0.07265501431658362,4.290012929824804e-05,0.05002316292257845,4,13,679
0,116,0.07265501431658362,1.2040300767436537e-05,0.04797127915067399,5,10,689
0,117,0.07265501431658362,0.0003724164741206029,0.04830004792714905,2,11,698
0,118,0.07265501431658362,0.0004419740788065926,0.052638855277300056,9,13,703
0,119,0.07265501431658362,0.0004419740788065926,0.055395371306358264,1,15,706
0,120,0.07265501431658362,0.0004419740788065926,0.054417969095633664,0,17,707
0,121,0.07265501431658362,0.00039650139568418974,0.054107216986308486,2,15,710
0,122,0.07265501431658362,0.0004419740788065926,0.05197104531377019,6,17,713
0,123,0.07265501431658362,0.0004419740788065926,0.05488706014225227,4,18,715
0,124,0.07265501431658362,0.0004419740788065926,0.04800488973189985,5,12,721
0,125,0.07265501431658362,4.09297286671355e-05,0.050712192303471466,3,18,723
0,126,0.07265501431658362,0.0004419740788065926,0.04819532775924494,3,14,727
0,127,0.07265501431658362,0.0004419740788065926,0.04776008989282651,2,13,730
0,128,0.07265501431658362,0.0004419740788065926,0.053217563038779954,1,12,736
0,129,0.07265501431658362,4.290012929824804e-05,0.04885939652410744,3,13,741
0,130,0.07265501431658362,0.0004419740788065926,0.05291652205296118,3,14,745
0,131,0.07265501431658362,0.0004419740788065926,0.050329068288390455,1,13,750
0,132,0.07265501431658362,0.00020485392158005666,0.049168290422342234,2,16,754
0,133,0.07265501431658362,0.0,0.04850223568753747,3,14,758
0,134,0.07265501431658362,7.827902127537426e-05,0.04563283543275694,1,13,763
0,135,0.07265501431658362,7.256214972115208e-05,0.052543717247200965,4,16,767
0,136,0.07265501431658362,0.0004419740788065926,0.04916433430915318,5,12,773
0,137,0.07265501431658362,0.0004419740788065926,0.05493528023898614,4,17,774
0,138,0.07265501431658362,0.0004419740788065926,0.054350202614885726,3,17,777
0,139,0.07265501431658362,0.0004419740788065926,0.0534602269066923,1,17,780
0,140,0.07265501431658362,7.256214972115208e-05,0.05044238743222228,3,14,784
0,141,0.07265501431658362,0.00020485392158005666,0.04657327453363159,2,12,790
0,142,0.07265501431658362,0.0002188766282482655,0.04908018036571405,5,13,795
0,143,0.07265501431658362,0.00020485392158005666,0.05018718158685027,6,16,797
0,144,0.07265501431658362,0.0004419740788065926,0.050942196238461315,13,16,799
0,145,0.07265501431658362,0.0004419740788065926,0.05451545814518378,10,15,802
0,146,0.07265501431658362,0.0004419740788065926,0.05486869594328343,10,14,804
0,147,0.07265501431658362,0.0004419740788065926,0.05799309442596487,6,19,805
0,148,0.07265501431658362,0.0004419740788065926,0.05799309442596487,10,17,806
0,149,0.07265501431658362,0.0004419740788065926,0.05413342275772802,9,15,809
0,150,0.07265501431658362,0.0004419740788065926,0.05203875351873719,9,15,814
0,151,0.07265501431658362,0.00020485392158005666,0.05260642496328354,8,14,816
0,152,0.07265501431658362,0.0004419740788065926,0.052768085601417,7,14,820
0,153,0.07265501431658362,0.0004419740788065926,0.05037138263130537,8,16,824
0,154,0.07265501431658362,0.0004419740788065926,0.05204434257279936,9,18,824
0,155,0.07265501431658362,0.00020485392158005666,0.04657689319931189,4,13,829
0,156,0.07265501431658362,6.232449021384381e-16,0.04888974668191748,6,12,833
0,157,0.07265501431658362,0.0002188766282482655,0.04758894533168493,4,14,837
0,158,0.07265501431658362,0.0004419740788065926,0.04852166226621941,5,15,842
0,159,0.07265501431658362,0.0004419740788065926,0.05295445446702925,5,15,843
0,160,0.07265501431658362,2.723947181737696e-06,0.049909876920518105,6,13,848
0,161,0.07265501431658362,2.723947181737696e-06,0.05190856288311425,10,14,852
0,162,0.07265501431658362,0.0004419740788065926,0.0527561115152507,11,15,855
0,163,0.07265501431658362,0.0004419740788065926,0.05201005625400147,5,13,860
0,164,0.07265501431658362,0.00020485392158005666,0.052715118863140224,10,15,861
0,165,0.07265501431658362,0.0004419740788065926,0.052346423847788426,10,18,863
0,166,0.07265501431658362,0.0004419740788065926,0.05832765129410514,11,17,864
0,167,0.07265501431658362,0.0004419740788065926,0.05646351065050847,5,19,865
0,168,0.07265501431658362,7.827902127537426e-05,0.05196526965248841,4,13,870
0,169,0.07265501431658362,7.256214972115208e-05,0.049917420209463347,4,15,873
0,170,0.07265501431658362,0.0004419740788065926,0.04300081107608735,8,13,878
0,171,0.07265501431658362,0.0004419740788065926,0.041011779819587736,5,13,885
0,172,0.07265501431658362,0.0004419740788065926,0.04325889094891645,5,12,891
0,173,0.07265501431658362,0.0004419740788065926,0.04882033828665545,5,15,896
0,174,0.07265501431658362,7.256214972115208e-05,0.054170672646751836,6,16,900
0,175,0.07265501431658362,0.0004419740788065926,0.05455266617784364,7,13,905
0,176,0.07265501431658362,0.0004419740788065926,0.05485522956432331,9,15,908
0,177,0.07265501431658362,0.0004419740788065926,0.05247013386243088,6,19,909
0,178,0.07265501431658362,0.0004419740788065926,0.05865148430594515,10,15,910
0,179,0.07265501431658362,0.0004419740788065926,0.058045927425416054,6,18,910
0,180,0.07265501431658362,0.0004419740788065926,0.05072387169323084,0,15,913
0,181,0.07265501431658362,0.0004419740788065926,0.05234746235954661,7,14,917
0,182,0.07265501431658362,0.00020485392158005666,0.05084670611991031,3,16,921
0,183,0.07265501431658362,0.0004419740788065926,0.049061503999663546,8,16,925
