,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.09128968188349078,3.4396435030527356e-05,0.01485171639914452,0.0,0.0,0.0
1,1,0.07285831097955195,1.2550509770236398e-05,0.015319921383903434,0.8,6.0,12.8
2,2,0.06823285728000628,7.076979517606392e-05,0.016231813157672588,1.8,6.2,25.8
3,3,0.06459573226461189,6.060138117730468e-05,0.01702612347598973,1.8,7.0,36.8
4,4,0.07773421820781441,2.2082099036710666e-05,0.017689340031439047,2.8,6.8,49.2
5,5,0.09176768223133475,0.00012682126641052493,0.01805516539073628,2.4,6.4,61.6
6,6,0.07125647124554121,2.7665833284720065e-05,0.020028388578165357,2.6,8.4,72.0
7,7,0.0674969527967306,7.764455872538902e-05,0.019962678971353336,1.8,6.0,84.4
8,8,0.0814673079008128,0.00013864112468345204,0.019677150148492768,1.2,5.4,97.8
9,9,0.07396298085662753,8.809937405585549e-05,0.01929086525564184,1.8,5.6,110.2
10,10,0.07405253169246534,1.9630596861417993e-05,0.01971631436012903,1.6,6.4,123.0
11,11,0.0857756595392756,5.717733518850295e-05,0.021444380088013616,2.4,5.2,135.8
12,12,0.06869852642086807,3.479878253350749e-05,0.020431168526039066,3.0,7.0,147.2
13,13,0.08040225051552652,0.0001243187889495082,0.022678952186369818,3.6,6.6,158.6
14,14,0.07937781536370826,5.4823495597364884e-05,0.020127590586911097,1.0,5.8,170.8
15,15,0.07896118852922186,5.5159946781740056e-05,0.021183690722895304,2.8,6.4,182.8
16,16,0.0853069379363561,3.738504522066894e-05,0.022725126459087235,3.2,6.6,195.4
17,17,0.08385315249976061,0.00011708844744917453,0.023303421772961876,3.8,5.4,206.8
18,18,0.08993892990737143,5.192781686114152e-05,0.02509963101306425,3.2,7.6,218.4
19,19,0.0824293694304296,4.911249340435447e-05,0.02188902626220971,2.4,4.8,232.4
20,20,0.08707983551687797,0.00010315379367666547,0.021802103304612568,3.8,6.6,244.6
21,21,0.08079897874249592,0.00010649940583230396,0.02302699666419491,3.6,8.2,254.8
22,22,0.09517447607440208,5.885884312738631e-05,0.02381177874548645,2.8,9.0,264.6
23,23,0.08678843383723786,0.0001464278403338789,0.025242585002952733,3.2,9.0,274.8
24,24,0.08551793616163621,0.00014814555169767135,0.02382502519300119,3.4,8.0,284.8
25,25,0.07058320814936968,0.00013215158024663457,0.02464019392119282,4.0,8.6,295.0
26,26,0.0792988293732227,0.00015049939128880942,0.024984476387875522,2.0,8.6,306.0
