,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.08366869386806094,6.232449021384381e-16,0.012529240624123224,0,0,0
0,1,0.10563401786440331,6.232449021384381e-16,0.018042686332959475,3,34,80
0,2,0.07528481176188496,0.0,0.017489533950191115,1,27,163
0,3,0.0960613170865325,0.0,0.019239075680372784,2,35,240
0,4,0.0960613170865325,2.723947181737696e-06,0.020086263881810385,0,38,318
0,5,0.10563401786440331,2.723947181737696e-06,0.021378055660033098,1,51,385
0,6,0.11864170126527245,6.232449021384381e-16,0.020341047162152452,1,29,468
0,7,0.10563401786440331,6.232449021384381e-16,0.019402282157315244,1,30,550
0,8,0.07190575805002825,2.723947181737696e-06,0.020898228625941248,2,39,627
0,9,0.09752454774606373,2.723947181737696e-06,0.021168499841283894,1,40,699
0,10,0.09752454774606373,6.232449021384381e-16,0.022583104681902198,2,38,773
0,11,0.08687012205069386,2.723947181737696e-06,0.023112892775009813,2,52,835
0,12,0.08292115078307626,6.232449021384381e-16,0.024178027712004165,4,35,908
0,13,0.07190575805002825,2.723947181737696e-06,0.02359229019439593,1,34,982
0,14,0.14152234824124107,2.723947181737696e-06,0.02566558221673657,3,41,1051
0,15,0.08347971903571134,6.232449021384381e-16,0.02598366077253145,1,49,1116
0,16,0.07190575805002825,2.723947181737696e-06,0.02752021227043867,1,45,1183
0,17,0.07190575805002825,0.0,0.026758030335071632,2,44,1257
0,18,0.06731066018314891,2.723947181737696e-06,0.02748075383185086,3,43,1326
0,19,0.08687012205069386,2.723947181737696e-06,0.027998338508870152,2,46,1390
0,20,0.07151767759499544,2.723947181737696e-06,0.028223663844053906,1,44,1462
0,21,0.06604549215609044,2.723947181737696e-06,0.029502252173205613,2,48,1528
0,22,0.05921276605688419,2.723947181737696e-06,0.02909362867465246,2,48,1594
0,23,0.06731066018314891,2.723947181737696e-06,0.030001839621303063,4,39,1665
0,24,0.06327707933041155,2.723947181737696e-06,0.029448652440419203,2,44,1735
0,25,0.06604549215609044,2.723947181737696e-06,0.03074790476366897,4,64,1785
0,26,0.07190575805002825,2.723947181737696e-06,0.0319232633260188,1,53,1844
0,27,0.08415475742128092,2.723947181737696e-06,0.03357452548115874,4,48,1908
0,28,0.11491914380716667,6.232449021384381e-16,0.034900579921920576,3,51,1971
0,29,0.07190575805002825,2.723947181737696e-06,0.03946572264828957,4,66,2017
0,30,0.08415475742128092,2.723947181737696e-06,0.0441010863476906,6,82,2049
