,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao,Unnamed: 0
0,0,0.10434459413672884,6.286072544983751e-07,0.013524208803520173,0.0,0.0,0.0,0.0
1,1,0.10866923066352241,5.447894364721881e-07,0.01606933434205244,1.2,34.4,79.6,0.0
2,2,0.09217815735532901,3.887312648688223e-06,0.016090397871002825,2.6,32.0,159.2,0.0
3,3,0.09147945112494266,1.0895788729443762e-06,0.017426493924681992,2.2,36.8,234.8,0.0
4,4,0.11542201479088432,2.179157745514806e-06,0.017663131637962952,1.4,35.0,313.4,0.0
5,5,0.09122309236241927,2.9528495902087936e-06,0.018231112915919653,2.0,37.0,390.8,0.0
6,6,0.09827016958543579,1.1683584759734136e-05,0.0191835539168165,2.0,37.2,467.2,0.0
7,7,0.09932517273784579,4.985959217107505e-16,0.019358199005479783,2.6,35.6,544.0,0.0
8,8,0.08802204215338102,4.5872178988774645e-06,0.019509681000825556,1.0,35.8,622.2,0.0
9,9,0.09821371318992958,4.042428462654574e-06,0.020519942373424506,2.4,37.8,698.8,0.0
10,10,0.09644814524452863,2.9528495899594958e-06,0.02139664537127271,1.4,41.6,772.0,0.0
11,11,0.08728985991484217,1.0895788729443762e-06,0.021559792293476033,2.0,42.2,843.8,0.0
12,12,0.09065037875106204,7.075577010144135e-06,0.022979101899821795,2.2,41.6,913.8,0.0
13,13,0.08816735610620582,4.893073703481763e-06,0.023795783917547986,2.0,43.6,981.8,0.0
14,14,0.09715950355218665,1.6343683092919156e-06,0.024312046275907183,3.4,39.2,1055.4,0.0
15,15,0.1031351500992282,1.0895788729443762e-06,0.024836525148937437,2.2,45.8,1124.4,0.0
16,16,0.09558174678385997,6.711066394787945e-06,0.02657775980710806,2.0,49.4,1187.8,0.0
17,17,0.07548574674624808,5.666765547926453e-06,0.026149287685824984,3.8,46.6,1256.0,0.0
18,18,0.07443562878706977,1.6343683090426175e-06,0.026967196526458792,1.8,50.4,1320.8,0.0
19,19,0.08864217980351599,3.860665684398163e-06,0.02768151659187687,2.4,49.8,1383.8,0.0
20,20,0.08157658206407561,4.405455120621053e-06,0.02893188560337026,1.0,57.2,1442.6,0.0
21,21,0.08156020594785003,8.925470942365598e-06,0.031239196088922457,1.8,55.4,1501.6,0.0
22,22,0.07780226343514396,1.800625977589682e-05,0.032708590275810544,3.0,61.2,1555.2,0.0
23,23,0.08788104509665542,1.644548450423486e-05,0.03455438510236223,3.0,58.4,1609.2,0.0
24,24,0.07568879895416683,1.439750071770109e-05,0.03639945954421107,2.2,63.4,1660.2,0.0
25,25,0.06894288891871075,1.1444651127990893e-05,0.03947097070173822,3.2,79.0,1695.2,0.0
26,26,0.07095194688716891,1.1989440564338434e-05,0.041055350430636225,1.8,74.8,1733.6,0.0
27,27,0.07340174676141945,5.531108322830008e-05,0.04306287523032191,3.4,80.2,1767.0,0.0
28,28,0.07955462403859659,1.7464373324430696e-05,0.04448626572821833,2.2,81.0,1799.6,0.0
29,29,0.06969128760179029,1.9869530493036586e-05,0.04620001961262031,3.2,85.4,1829.0,0.0
30,30,0.07553779158799864,6.029552537270038e-05,0.049937035070198775,4.6,92.6,1849.2,0.0
