,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0,0.06254415500612079,2.012111842903547e-05,0.013201783283295515,0.0,0.0,0.0
1,1,0.06841905169853069,4.055805247323581e-06,0.013123815896684852,0.8,5.8,11.8
2,2,0.06526145280114039,2.341430914905971e-05,0.015286508379507907,0.8,6.8,23.0
3,3,0.07081132859052153,2.5102626636628842e-05,0.016984975038907325,1.2,6.2,36.0
4,4,0.07882132410664247,3.328857237005594e-05,0.01822279946359081,2.4,6.6,49.0
5,5,0.059721584130178695,5.788746521933773e-05,0.015798670148654412,3.0,6.0,62.2
6,6,0.04978467593114518,3.4396435030527356e-05,0.01646430572730407,1.8,7.4,73.6
7,7,0.0642186579827767,8.698484266536639e-05,0.019498987442436663,2.6,6.6,85.4
8,8,0.07360254805362768,1.9085807424945806e-05,0.020397797487683385,1.6,4.6,99.2
9,9,0.05469476004773719,3.329238156469657e-05,0.0179750391601454,1.8,3.6,113.6
10,10,0.06873968961352467,9.454218114454441e-05,0.021456294604594854,4.2,7.0,125.0
11,11,0.0652978984043297,0.00012233413945953416,0.022583620390952273,4.4,6.2,137.2
12,12,0.0626845626405895,0.0002625342241552311,0.021771208217308876,3.4,7.0,149.4
13,13,0.06350185754491003,2.5102626636628842e-05,0.023620734558575114,4.8,7.6,161.4
14,14,0.06839304310714538,0.00010800650104752199,0.025473505922850765,2.8,6.8,173.4
15,15,0.06646340020172924,5.500820866675889e-05,0.02490479455819374,4.4,8.0,183.8
16,16,0.06984820812210338,0.00018664654389984313,0.02584237258830769,6.0,9.4,192.8
17,17,0.06656920520278146,0.00011374110842957915,0.026919173546599028,5.2,8.6,202.6
18,18,0.07078785362893797,0.00019850481050520053,0.02892540714755006,5.6,7.4,214.0
19,19,0.07164576589106644,6.87622245173573e-05,0.02797644815855547,5.4,9.0,224.2
20,20,0.09099525237078142,8.089342633058786e-05,0.0262960868443411,2.8,7.0,236.4
21,21,0.06376944050223798,8.237362542943972e-05,0.026186515627300223,3.4,10.2,245.0
22,22,0.061600264064577456,2.867099703018827e-05,0.025372652931894956,2.6,6.6,255.2
23,23,0.06910121137440844,0.0001380774236721393,0.026531545193670496,2.6,9.2,265.6
24,24,0.06478346543801106,2.0968450617116998e-05,0.026325262384497748,2.2,9.0,274.6
25,25,0.06820036861291902,0.00011012132091460431,0.025386154601016286,2.4,7.6,285.4
26,26,0.08360141534924012,1.8102300117732644e-05,0.02621386069588976,3.0,7.2,296.2
27,27,0.0727272146847345,0.00010489725339971558,0.027112878115938415,2.8,6.2,308.8
28,28,0.07174155273865264,7.251913017813864e-05,0.026278690856449665,4.0,6.0,321.6
29,29,0.07017690547691341,0.0001882708809853643,0.02847776509695833,3.8,8.6,331.8
30,30,0.07407267661492664,0.0001297358792566193,0.029634220922623793,3.8,7.0,343.2
