,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.05492310222490009,0.0,0.008098104559194595,0.0,0.0,0.0
1,1,0.062709727931684,2.8660357434075413e-16,0.013346668832674546,1.2292725943057183,3.17804971641414,3.6953424138441564
2,2,0.13085359432771534,0.0,0.0064610938726646985,0.5270462766947299,3.091206165165235,2.8205594401741574
3,3,0.1221941739017761,2.8660357434075413e-16,0.009128048482730093,0.9660917830792958,2.7406406388125957,2.11869981094276
4,4,0.1068786721064428,2.8660357434075413e-16,0.01558594375783021,1.0327955589886444,1.8135294011647258,2.0
5,5,0.14353129853894897,0.0024604111808553186,0.015562222513032204,0.9944289260117533,2.936362072739365,2.2997584414213783
6,6,0.12831782502573585,0.0027777614178531437,0.027949402172337417,1.1352924243950933,2.9533408577782247,2.9981475762358474
7,7,0.16483737353078204,2.8660357434075413e-16,0.03618869536031885,1.90029237516523,4.732863826479693,3.675746333890726
8,8,0.1550320574293927,0.004891660533510405,0.06347792357030546,0.9718253158075502,5.081557066709201,4.83045891539648
9,9,0.12685730814530566,0.004771308888644026,0.06104026315020441,1.1595018087284057,5.4528280124476085,3.3928028399998595
10,10,0.12906191688129554,0.002645390278286963,0.07029666056839215,1.66332999331662,5.396500923952689,3.9846929339382946
11,11,0.12257886386138615,0.02162601277141956,0.06012231908477569,2.057506581601462,3.977715704047013,5.094659513211413
12,12,0.10457257323844175,0.007484688010702875,0.06757637365728346,2.211083193570267,5.056349144063003,4.347413023856831
13,13,0.10884630149074302,0.00222408267837935,0.06626581804796484,2.4698178070456938,3.5023801430836525,4.618802153517006
14,14,0.11979869454121081,0.021579986995774767,0.07582222494966384,3.457680661303984,4.904646323187388,4.137900702315393
15,15,0.12127591640438772,0.00498860082656684,0.08962840075575108,3.238655413730965,4.760952285695233,3.7058512292499457
16,16,0.1060424704732432,0.001731814456135662,0.11613641800443304,3.4334951418181574,4.522781838156198,3.665151201974256
17,17,0.11852840482857759,0.002828041164471955,0.12154142442614915,2.9888682361946524,3.8944404818493075,4.557045826702499
18,18,0.10367291194333328,0.001731814456135694,0.11621034252464292,3.9171985454460234,4.546060565661953,4.417138339593985
19,19,0.11114212711561179,0.004980770468689927,0.11154249510418784,4.972144630058766,4.788875998951459,4.371625682868
20,20,0.10433783948788379,0.07253226947693595,0.10977639264144334,5.253570214625479,4.998888765404656,4.817791102892602
21,21,0.14574678555409395,0.007499239493504864,0.09955604482623348,4.6951511631090685,6.095535707019979,5.270462766947299
22,22,0.1473665999863571,0.01428964037294377,0.09742197964931457,5.015531433014408,3.9944405810520647,3.6270588023294517
23,23,0.1491742972097797,0.026948361518185467,0.11133939774734447,4.835057163858332,3.8297084310253524,3.7712361663282534
24,24,0.15212308010070097,0.0027393697555486854,0.10251106479458001,5.195083145522205,5.518655230720213,4.78539444560216
25,25,0.15212308010070097,0.04481152926127199,0.12212342914366252,6.325433669805661,4.0276819911981905,3.5213633723318014
26,26,0.15143323173497464,0.006608156630122985,0.10183627883094706,5.933895104491746,4.69041575982343,4.526465385804789
27,27,0.15143323173497464,0.015898384907828494,0.09815715952659644,6.196773353931867,4.332051092342595,3.7133393177689653
28,28,0.15143323173497464,0.002514802093716768,0.09931063205044112,2.936362072739365,4.049691346263317,4.087922591134904
29,29,0.14309293915608762,0.0213248706132741,0.09743641472841942,4.109609335312651,4.247875285886397,4.565571644870382
30,30,0.14309293915608762,0.002309085941514296,0.0998267172234822,6.289320754704402,5.138093031466052,3.806427312965386
