,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.2459495683194392,0.0,0.057287572584809654,0.0,0.0,0.0
1,1,0.2299088503259356,9.063200804621741e-17,0.07236909107113745,1.2,7.9,10.9
2,2,0.31335520632211755,0.0,0.08021466518207299,0.5,6.0,11.2
3,3,0.36140515291661013,9.063200804621741e-17,0.08662008712203777,0.6,5.8,13.4
4,4,0.31733695915894455,9.063200804621741e-17,0.09394697305950964,1.2,7.8,11.0
5,5,0.3346898476552259,0.0011560131969970849,0.0996826222868046,0.9,7.8,10.8
6,6,0.28927794040959354,0.0008784052876955646,0.11003188628258243,1.8,7.5,10.9
7,7,0.33500366142461424,9.063200804621741e-17,0.11350888106410555,1.5,8.2,10.2
8,8,0.34475460344451636,0.0020564681674517886,0.13115837295187907,1.5,8.6,9.0
9,9,0.30574098437010744,0.0015088203508325847,0.14105180461542538,1.7,9.2,8.8
10,10,0.2993194069282345,0.0016429434498584274,0.14802340795676755,1.9,8.3,9.9
11,11,0.30292899853912336,0.007382780969945771,0.14436396282333414,1.7,8.4,10.8
12,12,0.32173732580868525,0.0028753333117928154,0.15202321834913268,3.0,9.7,8.7
13,13,0.297014197044735,0.00105396243004828,0.1572320848077126,2.9,9.6,8.0
14,14,0.3025551944687388,0.008891601320778084,0.16576914590207667,3.8,10.5,8.7
15,15,0.2821546391868613,0.003253814567639636,0.17098642922556717,3.4,11.0,6.8
16,16,0.3204851245527503,0.0005476478166197478,0.18396657605723957,3.3,10.3,6.9
17,17,0.2806575489595805,0.002190591266478085,0.18630451296764544,3.6,10.5,8.1
18,18,0.3022316907758154,0.0005476478166196572,0.19445469663067477,4.7,12.0,7.2
19,19,0.28851832697687596,0.002158518934400865,0.2003785593048366,5.5,10.4,8.0
20,20,0.2992215025658631,0.026011322510100653,0.20528623019497388,6.4,10.9,6.9
21,21,0.31767401955716906,0.00291666651498385,0.20107078242154883,5.4,10.4,9.0
22,22,0.32045114850054895,0.007248521300303722,0.20509362775708886,5.4,11.8,6.4
23,23,0.3219007666024112,0.013401979593657121,0.21151463816426977,4.6,11.0,7.0
24,24,0.31239138817248413,0.0012993971671371048,0.21100949888165257,5.1,10.7,6.3
25,25,0.31239138817248413,0.015369342601973323,0.22086040249682865,5.7,12.0,5.2
26,26,0.3202625837162193,0.00383814706386345,0.21305513110637836,4.9,11.0,6.6
27,27,0.3202625837162193,0.008632109867261309,0.2244342676035716,6.2,13.9,5.3
28,28,0.3202625837162193,0.001560277043476722,0.22598364217839323,5.2,12.2,5.6
29,29,0.3285179399499683,0.008519409806375756,0.22628578444306213,4.0,12.6,5.2
30,30,0.3285179399499683,0.0010952956332390424,0.22981957865028435,6.0,12.8,5.6
