,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.06628238335632806,1.356957979045803e-05,0.010684702918550395,0,0,0
0,1,0.08366869386806094,2.723947181737696e-06,0.016860458726750842,1,6,10
0,2,0.08366869386806094,4.290012929824804e-05,0.02249987214364476,1,2,16
0,3,0.08366869386806094,2.723947181737696e-06,0.025807570501415817,1,2,10
0,4,0.08366869386806094,2.723947181737696e-06,0.0286776942115321,0,2,14
0,5,0.08366869386806094,4.09297286671355e-05,0.036220250951086566,6,5,13
0,6,0.1861644292134593,2.723947181737696e-06,0.042910849647921794,3,5,11
0,7,0.1861644292134593,0.0001300266442531566,0.05541030044095228,8,6,10
0,8,0.1861644292134593,4.09297286671355e-05,0.07023387672223921,16,10,6
0,9,0.1861644292134593,0.000332706018194225,0.07539707082177509,12,4,10
0,10,0.1861644292134593,0.0001300266442531566,0.08610234218622789,11,4,8
0,11,0.1861644292134593,0.001430278356734179,0.11113799529844447,15,8,10
0,12,0.1861644292134593,0.0006313977639976395,0.1168076902126555,11,6,8
0,13,0.1861644292134593,0.0017472033477151472,0.1350197498833997,14,8,6
0,14,0.1861644292134593,0.00048318135702285925,0.13628955612198715,15,6,4
0,15,0.1861644292134593,0.00048318135702285925,0.16217514659340793,22,14,2
0,16,0.1861644292134593,0.00048318135702285925,0.15379523685618388,15,14,0
0,17,0.1861644292134593,0.0006313977639976395,0.16375588023731616,15,10,2
0,18,0.1861644292134593,0.00048318135702285925,0.15084369168913964,10,10,2
0,19,0.1861644292134593,0.00048318135702285925,0.15744424025290066,13,12,4
0,20,0.1861644292134593,0.0006313977639976395,0.15711293745537774,18,10,4
0,21,0.1861644292134593,0.0006313977639976395,0.1751995786118898,19,16,0
0,22,0.1861644292134593,0.00048318135702285925,0.1620564428382848,13,14,2
0,23,0.1861644292134593,0.00048318135702285925,0.1576799028795283,12,14,4
0,24,0.1861644292134593,0.00048318135702285925,0.15168597718593968,13,8,4
0,25,0.1861644292134593,0.0017472033477151472,0.15438747630281008,17,10,4
0,26,0.1861644292134593,0.0006313977639976395,0.15953231120316858,17,12,2
0,27,0.1861644292134593,0.0017472033477151472,0.16527643051970853,16,13,3
0,28,0.1861644292134593,0.001430278356734179,0.15876595666536633,12,14,2
0,29,0.1861644292134593,0.0017472033477151472,0.15864242055461672,14,12,4
0,30,0.1861644292134593,0.0006313977639976395,0.15754567937163533,13,14,2
