,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.06894304396453647,1.1410315207721597e-05,0.013516230014222665,0.0,0.0,0.0
1,1,0.07853878811405154,9.06723038017973e-05,0.021217752751040025,1.8,5.4,10.2
2,2,0.08144565841116433,3.952556804360343e-05,0.025759034302288247,2.0,3.2,12.8
3,3,0.08144565841116433,8.141709088467778e-06,0.03131355269668816,3.6,2.0,9.6
4,4,0.0834298949082791,2.3325173565466217e-05,0.03376122114884029,4.6,2.8,10.8
5,5,0.0834298949082791,9.225335947816254e-05,0.03903836538079018,7.2,4.0,10.8
6,6,0.11167267630981015,0.0017268245248587412,0.04369750602786485,7.4,4.6,10.2
7,7,0.11167267630981015,0.0015132590024092194,0.05113289060971969,10.0,5.4,9.0
8,8,0.11167267630981015,0.0001389676143212694,0.05688081479017139,12.6,8.0,7.2
9,9,0.11167267630981015,0.0004957167702402971,0.058125574565103075,10.0,6.0,9.2
10,10,0.11167267630981015,0.00015678699743847365,0.06138013971640287,11.6,5.0,8.2
11,11,0.11167267630981015,0.00031211054433082834,0.06989684696558227,14.4,8.4,7.2
12,12,0.11167267630981015,0.0002500204437251334,0.0716219702639259,12.2,6.4,7.2
13,13,0.11167267630981015,0.002490438635865922,0.07782025300514646,15.4,9.6,5.6
14,14,0.11167267630981015,0.0024840115335879025,0.08058193306943648,16.6,8.0,5.2
15,15,0.11167267630981015,0.0018369715593685727,0.08801372992569323,19.6,10.2,5.0
16,16,0.11167267630981015,0.0002721318567334604,0.08640224679215683,18.8,11.4,4.2
17,17,0.11167267630981015,0.0027412814388074963,0.09158155015098342,19.6,9.6,5.2
18,18,0.11167267630981015,0.0002384380799284336,0.08753293699089044,16.8,9.4,4.6
19,19,0.11167267630981015,0.006164428808242642,0.08982371111791672,18.0,9.2,5.6
20,20,0.11167267630981015,0.002535615166168451,0.09110526583062696,19.6,9.6,4.8
21,21,0.11167267630981015,0.0010518294088773586,0.09444383977245951,18.4,10.6,3.8
22,22,0.11167267630981015,0.0009303644496090168,0.09564161963107254,19.8,10.0,4.0
23,23,0.11167267630981015,0.0010148430023634416,0.09392638319860651,19.0,10.6,4.6
24,24,0.11167267630981015,0.0026725057168079597,0.0922503690157001,18.8,9.0,4.6
25,25,0.11167267630981015,0.002277580108837293,0.09309066304184316,19.6,9.8,4.6
26,26,0.11167267630981015,0.0027007314007771563,0.0909098126905683,20.6,10.4,4.0
27,27,0.11167267630981015,0.0009317661416173278,0.09559117464889155,23.0,10.6,3.0
28,28,0.11167267630981015,0.0013226708192337242,0.09198490069481809,21.6,11.8,3.8
29,29,0.11167267630981015,0.0005870701660202245,0.09464646596611541,23.4,11.0,3.8
30,30,0.11167267630981015,0.000919010858058784,0.09464482224505076,22.6,11.8,3.4
