,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0726550143165836,1.356957979045803e-05,0.0140094153641836,0,0,0
1,1,0.0726550143165836,4.09297286671355e-05,0.0213637045316486,3,8,10
2,2,0.0726550143165836,4.09297286671355e-05,0.0275999542061067,4,8,12
3,3,0.0886351099134509,0.0001874444584537,0.033078839590136,7,6,14
4,4,0.0886351099134509,0.0001675454098696,0.0332091946268591,11,4,14
5,5,0.0886351099134509,1.356957979045803e-05,0.0384676357811061,14,4,14
6,6,0.0886351099134509,0.0003724164741206,0.0444420878610386,14,2,18
7,7,0.0886351099134509,6.232449021384381e-16,0.0658877257024162,33,8,12
8,8,0.0886351099134509,4.09297286671355e-05,0.0665561348738003,32,12,6
9,9,0.0886351099134509,0.0004462945456119,0.0823145296176868,42,16,2
10,10,0.0886351099134509,6.232449021384381e-16,0.0852767103306656,46,18,0
11,11,0.0886351099134509,0.0004462945456119,0.0837594376351595,44,18,2
12,12,0.0886351099134509,0.0032329701284461,0.0869927610714316,48,18,0
13,13,0.0886351099134509,0.0886351099134509,0.0886351099134509,47,18,0
14,14,0.0886351099134509,3.143036271245386e-06,0.0868624705759073,45,19,1
15,15,0.0886351099134509,0.0048941295199591,0.0869602903055811,45,17,1
16,16,0.0886351099134509,0.0886351099134509,0.0886351099134509,47,20,0
17,17,0.0886351099134509,3.143036271245386e-06,0.0816253490590415,44,16,2
18,18,0.0886351099134509,0.0031566648058383,0.0869590619701644,48,20,0
19,19,0.0886351099134509,0.0003179683690454,0.083452091383345,46,16,2
20,20,0.0886351099134509,0.0031566648058383,0.0855501635750028,46,19,1
21,21,0.0886351099134509,4.09297286671355e-05,0.0868979691255139,47,18,0
22,22,0.0886351099134509,0.0070562508464482,0.0857213691496434,45,18,2
23,23,0.0886351099134509,0.0245269307900799,0.0873780867933848,47,18,0
24,24,0.0886351099134509,0.0048941295199591,0.0869931299057354,48,18,0
25,25,0.0886351099134509,0.0004831813570228,0.0851090327711938,47,18,0
26,26,0.0886351099134509,0.0012257413613536,0.0856641776060888,46,19,1
27,27,0.0886351099134509,0.0886351099134509,0.0886351099134509,46,20,0
28,28,0.0886351099134509,0.0031566648058383,0.0842706442208764,46,16,0
29,29,0.0886351099134509,3.143036271245386e-06,0.0854253942128425,46,18,0
30,30,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,18,0
31,31,0.0886351099134509,4.09297286671355e-05,0.0803545374969336,44,16,2
32,32,0.0886351099134509,0.0012940641521512,0.0851605448536128,46,18,0
33,33,0.0886351099134509,0.0032329701284461,0.0823983910515397,44,16,2
34,34,0.0886351099134509,4.09297286671355e-05,0.0868979691255139,48,18,0
35,35,0.0886351099134509,0.0004831813570228,0.0851640285466222,44,18,0
36,36,0.0886351099134509,0.0004462945456119,0.0838393525695216,43,14,2
37,37,0.0886351099134509,3.143036271245386e-06,0.0868972282099768,46,20,0
38,38,0.0886351099134509,0.0012257413613536,0.085607860480873,46,20,0
39,39,0.0886351099134509,0.0886351099134509,0.0886351099134509,47,18,0
40,40,0.0886351099134509,0.0167812917602109,0.0835269669562045,43,16,2
41,41,0.0886351099134509,0.0004831813570228,0.0851238839712804,45,18,0
42,42,0.0886351099134509,0.0032329701284461,0.085489990754686,42,18,2
43,43,0.0886351099134509,0.0022479026828469,0.0851993229731387,44,18,0
44,44,0.0886351099134509,0.0031566648058383,0.0842566162011007,43,18,2
45,45,0.0886351099134509,4.09297286671355e-05,0.0839835783453684,45,18,2
46,46,0.0886351099134509,0.0032329701284461,0.0839410320858741,46,16,2
47,47,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,16,0
48,48,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,20,0
49,49,0.0886351099134509,0.0004462945456119,0.086905917455258,48,18,0
50,50,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,18,0
51,51,0.0886351099134509,0.0245269307900799,0.0873780867933848,46,18,0
52,52,0.0886351099134509,3.143036271245386e-06,0.0850905869722116,46,18,0
53,53,0.0886351099134509,0.0031566648058383,0.0810515749753192,44,16,2
54,54,0.0886351099134509,0.0167812917602109,0.0859691883982232,47,18,0
55,55,0.0886351099134509,0.0032329701284461,0.085551659757799,46,16,0
56,56,0.0886351099134509,0.0022479026828469,0.0869412431050077,48,16,0
57,57,0.0886351099134509,0.0004831813570228,0.0869066407260699,48,18,0
58,58,0.0886351099134509,0.0031566648058383,0.082343345489469,44,18,2
59,59,0.0886351099134509,0.0156339838231364,0.0857948168890675,47,18,0
60,60,0.0886351099134509,0.0156339838231364,0.0871750873916446,46,18,0
61,61,0.0886351099134509,6.232449021384381e-16,0.0852211186385281,45,19,1
62,62,0.0886351099134509,4.09297286671355e-05,0.0835220802262629,42,17,1
63,63,0.0886351099134509,4.09297286671355e-05,0.0854261499466904,43,18,0
64,64,0.0886351099134509,0.0031566648058383,0.083843386322311,41,18,2
65,65,0.0886351099134509,3.143036271245386e-06,0.0852173922499844,43,16,0
66,66,0.0886351099134509,4.09297286671355e-05,0.0868632263097552,44,19,1
67,67,0.0886351099134509,4.09297286671355e-05,0.0868632263097552,44,18,0
68,68,0.0886351099134509,0.0022479026828469,0.0869412431050077,45,18,0
69,69,0.0886351099134509,4.09297286671355e-05,0.0850913427060595,45,18,2
70,70,0.0886351099134509,4.09297286671355e-05,0.0855810627272878,43,16,0
71,71,0.0886351099134509,4.09297286671355e-05,0.0834323591501961,43,18,0
72,72,0.0886351099134509,0.0167812917602109,0.0859158699679187,43,18,0
73,73,0.0886351099134509,0.0003179683690454,0.0852236887566399,43,18,0
74,74,0.0886351099134509,0.0032329701284461,0.0822133352474231,41,16,2
75,75,0.0886351099134509,4.09297286671355e-05,0.0786057696034826,41,16,2
76,76,0.0886351099134509,3.143036271245386e-06,0.0835228505988672,43,16,2
77,77,0.0886351099134509,3.143036271245386e-06,0.0852308933945672,44,18,2
78,78,0.0886351099134509,0.0004462945456119,0.086905917455258,45,18,0
79,79,0.0886351099134509,0.0886351099134509,0.0886351099134509,44,18,0
80,80,0.0886351099134509,0.0886351099134509,0.0886351099134509,45,18,0
81,81,0.0886351099134509,3.143036271245386e-06,0.0868972282099768,46,20,0
82,82,0.0886351099134509,0.0004462945456119,0.0838031522516532,44,18,0
83,83,0.0886351099134509,0.0022479026828469,0.0851977968666866,44,18,0
84,84,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,20,0
85,85,0.0886351099134509,0.0022479026828469,0.085470289405774,46,18,0
86,86,0.0886351099134509,0.0003179683690454,0.0852905793675578,44,17,1
87,87,0.0886351099134509,4.09297286671355e-05,0.0834323591501961,45,18,0
88,88,0.0886351099134509,0.0004462945456119,0.082016645545177,43,16,0
89,89,0.0886351099134509,0.0022479026828469,0.085262287442916,45,16,2
90,90,0.0886351099134509,3.143036271245386e-06,0.0802761889783845,42,16,2
91,91,0.0886351099134509,0.0048941295199591,0.0855842315105738,46,19,1
92,92,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,20,0
93,93,0.0886351099134509,0.0886351099134509,0.0886351099134509,48,18,0
94,94,0.0886351099134509,0.000770234978882,0.0818980828096912,45,18,2
95,95,0.0886351099134509,0.011474198142403,0.0856548153149651,46,18,2
96,96,0.0886351099134509,0.0070562508464482,0.085566456369046,46,18,2
97,97,0.0886351099134509,0.0032329701284461,0.0823448715959211,45,18,2
98,98,0.0886351099134509,0.0004462945456119,0.08421749970597,46,18,2
99,99,0.0886351099134509,0.0064930986452767,0.0869922696880874,46,16,0
100,100,0.0886351099134509,0.0070562508464482,0.0870355244415489,47,18,0
