,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0464232983374841,9.275524606246827e-06,0.0095357920612426,0.0,0.0,0.0
1,1,0.0686736928197732,2.365814771109433e-05,0.0170779593476143,0.6,5.0,13.4
2,2,0.0769664232087213,1.1838731254213402e-05,0.0206165997471732,2.0,3.6,14.799999999999999
3,3,0.0783611278972216,7.772495196841934e-05,0.0252290013203976,3.8,4.8,12.8
4,4,0.0794498194627962,9.74099868519324e-05,0.0296581754576602,5.2,4.2,14.600000000000001
5,5,0.0826726481367782,1.1501821981353075e-05,0.0329632893043951,6.0,3.4,14.600000000000001
6,6,0.084724001628102,5.674089768598577e-05,0.0360597196684067,6.8,4.6,14.200000000000003
7,7,0.084724001628102,8.432605433897611e-05,0.0433227853080196,11.2,7.2,11.199999999999989
8,8,0.0896113321492621,0.0001169204153172,0.0472260498115142,14.8,6.8,11.600000000000009
9,9,0.0896113321492621,0.0033959337109744,0.0562522789759862,20.8,9.6,9.200000000000003
10,10,0.092284527588374,0.0045020310669125,0.062362243108299,23.4,12.0,6.799999999999997
11,11,0.0938552735945501,0.0069085012516001,0.0648693106261374,26.2,12.6,6.6000000000000085
12,12,0.0938552735945501,0.0348537821394703,0.0683787348076581,25.6,12.4,6.0
13,13,0.0938552735945501,0.0178689081809572,0.0708407989908689,25.6,13.4,5.0
14,14,0.0938552735945501,0.0385263794986496,0.073215745096714,27.8,12.4,6.399999999999977
15,15,0.0938552735945501,0.0353428263674396,0.0720131260316102,27.0,13.4,5.800000000000011
16,16,0.0938552735945501,0.0177283555732019,0.0755219377986559,29.4,11.0,7.0
17,17,0.1011724439310148,0.0179561479873891,0.077092002466208,30.6,11.8,6.199999999999989
18,18,0.1011724439310148,0.0246473720320835,0.0854778544328367,36.4,16.2,3.0
19,19,0.1011724439310148,0.0270569718087376,0.0888207481727723,37.6,13.6,4.0
20,20,0.1071109422388921,0.0013492147341291,0.0928830261347592,37.8,14.6,4.200000000000017
21,21,0.1071109422388921,0.0480970771483943,0.0958165581441727,39.8,15.6,3.1999999999999886
22,22,0.1071109422388921,0.0255882939293766,0.0980477776921014,41.0,16.8,1.5999999999999943
23,23,0.1071109422388921,0.0308062004620382,0.0988034972224801,41.2,16.8,1.6000000000000227
24,24,0.1071109422388921,0.0205189492837781,0.1019651463633359,42.0,16.0,2.3999999999999773
25,25,0.1071109422388921,0.0547294455095795,0.1046163561717959,42.6,18.0,0.8000000000000114
26,26,0.1071109422388921,0.0516515783571556,0.1051035390028344,43.4,17.8,1.0
27,27,0.1071109422388921,0.0053159998771478,0.1035991389271303,43.2,17.6,0.8000000000000114
28,28,0.1071109422388921,0.0294823626991634,0.1046928683299611,44.4,17.4,0.5999999999999943
29,29,0.1071109422388921,0.0232138471850421,0.1044805738084794,44.0,18.0,0.4000000000000057
30,30,0.1071109422388921,0.0335456489533574,0.1029971814618736,42.8,17.6,1.1999999999999886
31,31,0.1071109422388921,0.0595459538230612,0.1057985564296319,44.8,18.8,0.0
32,32,0.1071109422388921,0.0209979387268161,0.1039783913490592,44.4,18.6,0.19999999999998863
33,33,0.1071109422388921,0.0555208753438803,0.105401127535256,44.8,18.6,0.6000000000000227
34,34,0.1071109422388921,0.054833288958012,0.1052026364040377,44.6,18.0,0.39999999999997726
35,35,0.1071109422388921,0.0197123282385528,0.1049173141865536,43.2,18.0,0.0
36,36,0.1071109422388921,0.0149752122691349,0.104196159511064,41.6,17.8,1.0
37,37,0.1071109422388921,0.0137861184199049,0.1032049692317604,41.4,18.2,0.6000000000000227
38,38,0.1071109422388921,0.0461001324076109,0.1045093744241639,41.6,17.4,0.5999999999999943
39,39,0.1071109422388921,0.0814678844455515,0.1064531417147766,43.6,17.6,0.0
40,40,0.1071109422388921,0.0219139134947088,0.1026225282835406,42.0,16.6,0.5999999999999943
41,41,0.1071109422388921,0.0915928988737704,0.1066390851391596,44.4,18.4,0.0
42,42,0.1071109422388921,0.0367432098981209,0.1045342484863703,44.2,19.0,0.5999999999999943
43,43,0.1071109422388921,0.025150666346037,0.1037628615056723,43.4,18.4,0.4000000000000057
44,44,0.1071109422388921,0.0352564107129052,0.1032673506776539,41.4,17.2,1.1999999999999886
45,45,0.1071109422388921,0.0404212854014756,0.1053797150401606,43.4,19.2,0.4000000000000057
46,46,0.1071109422388921,0.0202842699356904,0.1041477225736845,42.8,17.4,0.5999999999999943
47,47,0.1071109422388921,0.0318517226975182,0.1040882895518021,44.0,18.4,0.4000000000000057
48,48,0.1071109422388921,0.0301164246994084,0.1050532199170715,44.4,18.2,0.5999999999999943
49,49,0.1071109422388921,0.0417517317094134,0.1047477016997775,44.4,18.6,0.6000000000000227
50,50,0.1071109422388921,0.0406181820837699,0.1039583775875262,44.0,18.2,1.0
