,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.14152234824124107,2.723947181737696e-06,0.015392178389985378,0,0,0
0,1,0.059200704559971506,4.09297286671355e-05,0.014094875450140267,0,4,12
0,2,0.08903982397817484,2.723947181737696e-06,0.01600823375703513,2,8,12
0,3,0.0960613170865325,0.00048318135702285925,0.022768948705048683,0,10,12
0,4,0.08903982397817484,4.09297286671355e-05,0.023175202888904567,0,8,14
0,5,0.08903982397817484,4.09297286671355e-05,0.025776563270460105,1,4,12
0,6,0.08903982397817484,5.514778287443675e-06,0.026851780857470767,0,8,12
0,7,0.0695947734151102,0.00020485392158005666,0.02636976963817842,1,9,9
0,8,0.0695947734151102,2.723947181737696e-06,0.022869208055161003,1,4,18
0,9,0.06604549215609044,0.0001675454098696106,0.028676068385018915,2,8,12
0,10,0.06604549215609044,4.09297286671355e-05,0.03354228373205854,3,10,10
0,11,0.06604549215609044,0.0012940641521512217,0.0380515086128098,5,8,10
0,12,0.06604549215609044,0.0012940641521512217,0.03833558813380176,2,8,8
0,13,0.06604549215609044,0.0039555486650442884,0.04386109754429447,3,10,6
0,14,0.06604549215609044,0.00048318135702285925,0.04597836214395617,8,9,7
0,15,0.06604549215609044,0.00048318135702285925,0.05581711029712724,2,15,3
0,16,0.06604549215609044,0.005991841104852758,0.06135928861835174,4,14,2
0,17,0.06604549215609044,0.005991841104852758,0.06167115609150775,5,14,2
0,18,0.06604549215609044,0.0003724164741206029,0.06095778694900789,3,20,2
0,19,0.0747390321511062,0.015362042523009095,0.06232113629870069,2,16,4
0,20,0.06604549215609044,0.005991841104852758,0.060173225736716886,2,13,3
0,21,0.06604549215609044,0.00020485392158005666,0.05666384736076794,4,8,4
0,22,0.06604549215609044,2.723947181737696e-06,0.050068578928101265,2,16,6
0,23,0.06604549215609044,2.723947181737696e-06,0.054998500536490275,0,19,5
0,24,0.06604549215609044,0.0039555486650442884,0.05917240014472687,2,14,4
0,25,0.06604549215609044,0.0039555486650442884,0.05784019547970002,3,14,2
0,26,0.06604549215609044,0.00020485392158005666,0.0635276063703755,1,14,0
0,27,0.06604549215609044,0.0023883819234534506,0.0625383928452715,3,19,1
0,28,0.06604549215609044,2.723947181737696e-06,0.0566960372249884,2,14,4
0,29,0.06604549215609044,0.00048318135702285925,0.0553772135370378,4,12,6
0,30,0.06604549215609044,2.723947181737696e-06,0.06005202634941353,5,19,1
