,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.07915214052845895,4.427292910407749e-05,0.013348820031455355,0.0,0.0,0.0
1,1,0.06148635265401917,1.5261522743446587e-05,0.014161302364116632,0.6,6.8,10.4
2,2,0.06284114114289237,0.00012953825819409168,0.01664705435755525,1.6,6.4,12.0
3,3,0.08023748297502278,0.0001314969601257507,0.018875538400525055,1.0,6.8,12.4
4,4,0.07325245481165135,5.351374490166249e-05,0.018637777374035915,0.4,6.2,12.6
5,5,0.07270565093617432,2.7328924011859733e-05,0.01993282027549535,0.6,5.0,13.4
6,6,0.08902132175102147,5.9074238694603346e-05,0.021852158596152988,0.8,7.6,12.8
7,7,0.07249522492200502,0.00013742478289238905,0.022831617265030586,0.8,8.0,10.0
8,8,0.07755149320799498,1.0365103478817257e-05,0.024112335380181565,0.4,5.2,14.8
9,9,0.08136881296339275,0.00011431965458250429,0.027106753480604078,1.8,6.0,13.6
10,10,0.076695639466244,0.0001745122462627332,0.030855529274655867,2.2,7.2,12.4
11,11,0.076695639466244,0.0003522896755656834,0.03383757608251653,3.8,6.0,13.2
12,12,0.076695639466244,0.00040394972678292764,0.03556820035813607,1.6,6.8,12.4
13,13,0.07687315548818205,0.0018107409613557744,0.04179601571465595,3.8,8.4,10.0
14,14,0.08033063297801288,0.00029346328061670266,0.04380126500659858,4.2,6.6,11.0
15,15,0.08033063297801288,0.0007482078703394114,0.049414730178723186,4.0,9.8,9.4
16,16,0.08033063297801288,0.0019199869023860644,0.05065798660422505,3.6,7.8,9.8
17,17,0.08033063297801288,0.0017426526280614391,0.052584460384153486,3.6,10.4,7.6
18,18,0.08355346165199484,0.001729610091962228,0.0548762616153395,4.4,12.8,8.0
19,19,0.08679244695802313,0.006519920307388981,0.05568421389030527,4.8,11.2,8.0
20,20,0.08505373895901998,0.004994095532423289,0.05916991961643288,5.8,13.6,5.6
21,21,0.08505373895901998,0.00145769121049549,0.058186637904827046,5.8,9.2,7.6
22,22,0.08505373895901998,0.001473919586191954,0.05724896886527596,5.2,11.4,6.6
23,23,0.09796250388583128,0.0003314243879660744,0.062004403937383754,5.4,10.6,7.4
24,24,0.09796250388583128,0.0027853558361550313,0.06710121857983305,6.6,11.4,6.6
25,25,0.09796250388583128,0.0018359100908667092,0.06745648504265325,10.0,11.8,6.6
26,26,0.09796250388583128,0.0003060229466676803,0.06744158163011814,8.6,11.2,5.6
27,27,0.09796250388583128,0.0035502864718523473,0.0682566302884839,8.8,12.8,5.6
28,28,0.09796250388583128,0.0028382916256371564,0.06995915756291773,9.6,14.4,6.0
29,29,0.09796250388583128,0.0015619676569845241,0.06501791831352459,7.8,11.4,5.4
30,30,0.09796250388583128,0.0016175901566436047,0.06799482453524522,8.6,13.4,5.4
