,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.086988819420767,1.2059988202494272e-05,0.0137930333603466,0.0,0.0,0.0
1,1,0.0926964655170916,1.3807433255644616e-05,0.0194625957788425,1.2,11.0,30.6
2,2,0.0939868714515394,8.029547675704823e-06,0.0222141005631507,3.2,11.4,31.4
3,3,0.0941367227048505,4.348284267134224e-06,0.0258449633362706,5.6,11.4,31.0
4,4,0.0972786415637236,4.4054551206210524e-06,0.0287907618129988,8.4,11.4,31.400000000000006
5,5,0.1073588687155009,3.313969341694355e-05,0.0319047744467993,10.0,10.0,32.400000000000006
6,6,0.1087266593701996,3.29665652844991e-05,0.038981628882154,15.8,10.6,30.599999999999994
7,7,0.1093669450067262,8.090443483852246e-05,0.0458016866513467,20.4,13.0,29.400000000000006
8,8,0.1093669450067262,1.620655087261627e-05,0.0581990316226406,28.2,19.6,23.19999999999999
9,9,0.1093669450067262,3.7052978809013405e-05,0.0684925785242212,35.6,20.8,20.80000000000001
10,10,0.1093669450067262,0.0053937856588266,0.078529398792705,45.2,27.4,14.199999999999989
11,11,0.1093669450067262,0.0167911592200158,0.0822453717450233,45.8,26.4,16.399999999999977
12,12,0.1093669450067262,0.0242390677688742,0.0824448258660245,49.6,25.8,15.800000000000011
13,13,0.1093669450067262,0.002979854023945,0.0837675584784894,51.0,28.4,14.0
14,14,0.1129111385811403,0.0101229180630711,0.0831213017565131,53.6,25.6,15.600000000000023
15,15,0.1129111385811403,0.0269237749305625,0.0856315029294515,51.6,28.0,14.0
16,16,0.1167364061164195,0.0044337205867441,0.089649356552289,61.8,32.0,9.199999999999989
17,17,0.1167364061164195,0.0028430304905252,0.0918715381621344,65.4,32.6,8.600000000000023
18,18,0.1167364061164195,0.0133567710517098,0.0945460686194288,65.6,33.2,8.399999999999977
19,19,0.1202150031121465,0.0002050140930485,0.0936060076606414,65.4,29.2,13.199999999999989
20,20,0.1202150031121465,0.003431909222614,0.0969525221838421,67.2,27.6,14.0
21,21,0.1202150031121465,0.0004278620758997,0.097523348226301,67.0,26.4,14.0
22,22,0.1202150031121465,0.0066274649974128,0.0998552995641839,69.2,31.6,10.800000000000011
23,23,0.1202150031121465,0.0031418521083632,0.1009166112446031,71.4,31.6,10.399999999999977
24,24,0.1202150031121465,0.0003345256186955,0.1036852271611054,70.6,28.8,13.200000000000045
25,25,0.1202150031121465,0.0029318885333969,0.1052743639969078,70.6,31.6,9.199999999999989
26,26,0.1275628772506656,0.0057945363227467,0.1090431152826748,73.6,35.4,6.199999999999989
27,27,0.1275628772506656,0.0048174644310918,0.1121411182025815,78.4,37.2,4.800000000000011
28,28,0.1275628772506656,0.0107358171603889,0.1137042503584916,78.6,38.2,4.199999999999989
29,29,0.1275628772506656,0.0070051618944466,0.1145119797638293,81.4,37.4,3.8000000000000114
30,30,0.1275628772506656,0.0046640751296909,0.1140459998632442,79.6,37.2,4.399999999999977
