,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.0466750964250977,7.256214972115208e-05,0.0129867216516373,0,0,0
1,1,0.0629940129145812,0.0001300266442531,0.0182680311001026,2,0,10
2,2,0.0629940129145812,1.356957979045803e-05,0.0258120039228428,6,2,8
3,3,0.0629940129145812,0.0001300266442531,0.0248424662713175,3,0,10
4,4,0.0629940129145812,0.0012940641521512,0.0318951632933846,3,2,8
5,5,0.0629940129145812,1.356957979045803e-05,0.0387411668903354,10,2,8
6,6,0.0629940129145812,0.0012940641521512,0.0483458060712417,15,4,6
7,7,0.0629940129145812,1.356957979045803e-05,0.0560040410331791,23,8,0
8,8,0.0629940129145812,0.0032329701284461,0.0564068552097057,25,8,2
9,9,0.0629940129145812,0.0032329701284461,0.0594615541165644,26,8,2
10,10,0.0834797190357113,0.002700343823026,0.0577649599016646,24,7,1
11,11,0.0834797190357113,1.356957979045803e-05,0.0630792859681375,23,6,4
12,12,0.0834797190357113,0.0629940129145812,0.0696023052117199,23,4,6
13,13,0.0834797190357113,0.0629940129145812,0.0780168640700766,22,6,4
14,14,0.0834797190357113,0.0012940641521512,0.0776153122313295,21,7,3
15,15,0.0834797190357113,4.09297286671355e-05,0.0792539126223592,24,9,1
16,16,0.0834797190357113,0.0834797190357113,0.0834797190357113,26,10,0
17,17,0.0834797190357113,0.0015573293801921,0.0791255063558086,25,8,2
18,18,0.0834797190357113,0.0012940641521512,0.0800667758827493,25,8,0
19,19,0.0834797190357113,0.0005874204597814,0.0808057739203588,24,10,0
20,20,0.0834797190357113,0.0834797190357113,0.0834797190357113,24,10,0
21,21,0.0834797190357113,0.0012940641521512,0.0808285688781771,25,8,0
22,22,0.0834797190357113,0.0012940641521512,0.0800667758827493,24,8,0
23,23,0.0834797190357113,0.0003179683690454,0.0745261131359526,21,8,0
24,24,0.0834797190357113,0.0275758224407626,0.0816763675326485,24,8,0
25,25,0.0834797190357113,4.09297286671355e-05,0.080788145187097,25,8,0
26,26,0.0834797190357113,0.00020485392158,0.0781960253962471,23,8,2
27,27,0.0834797190357113,0.0012940641521512,0.0800667758827493,24,8,2
28,28,0.0834797190357113,0.0275758224407626,0.079964812583569,22,8,2
29,29,0.0834797190357113,0.0012940641521512,0.0800667758827493,23,8,0
30,30,0.0834797190357113,0.0834797190357113,0.0834797190357113,25,10,0
