gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
0,0.007093985081164793,5.2880828305691765e-06,0.002298326630151901,0.0,0.0,0.0
1,0.007279217576516338,0.0003870073997913998,0.0038136967558239595,0.8944271909999159,1.4142135623730951,2.2803508501982765
2,0.023573475189464153,7.868465390571441e-05,0.0050516125328919975,1.6733200530681511,0.8944271909999159,1.4832396974191324
3,0.02141876354847946,9.449556456294252e-05,0.004606748891398482,3.7416573867739413,2.0,1.9493588689617927
4,0.02738808238857473,0.00021834683314915612,0.0074280739793219945,2.5495097567963922,0.4472135954999579,3.0331501776206204
5,0.02738808238857473,1.3690524579183319e-05,0.008973726353394199,4.183300132670378,2.9495762407505253,2.8809720581775866
6,0.02207825012281414,9.720870000294467e-05,0.012431141147847224,4.08656334834051,2.6076809620810595,3.0331501776206204
7,0.014813248310664353,0.00012900654709073364,0.012560464695270038,7.280109889280519,3.605551275463989,3.7682887362833544
8,0.014153188864143388,0.00028179350853351637,0.015542764141495328,4.868264577855234,4.604345773288535,3.7416573867739413
9,0.014153188864143388,0.00011975582232346062,0.016855321504209146,6.300793600809346,1.6733200530681511,3.63318042491699
10,0.022746494404451423,0.0028596535269211133,0.013205305875859434,6.913754406977442,5.272570530585627,4.669047011971501
11,0.022746494404451423,0.002593618122496628,0.012161994103188535,5.128352561983234,3.082207001484488,4.06201920231798
12,0.036186712275738206,7.900389243537471e-05,0.009312836499127827,6.6932802122726045,4.919349550499537,4.09878030638384
13,0.036186712275738206,0.0027052252460349467,0.015238283270932415,10.963576058932595,5.319774431308154,2.8809720581775866
14,0.036186712275738206,0.00028843352946699097,0.013957889957303158,9.497368056467012,4.03732584763727,3.2093613071762426
15,0.036186712275738206,0.00233238645497484,0.012385593715659924,7.9498427657407165,4.123105625617661,4.024922359499622
16,0.036186712275738206,0.0004049747370722854,0.016049004966342952,8.136338242723197,4.560701700396551,4.381780460041329
17,0.036186712275738206,0.002718124838275084,0.014797266132457462,6.877499545619759,2.9664793948382653,4.669047011971501
18,0.03536881549883866,0.0016759317944088216,0.015627443848249874,2.5884358211089564,3.0495901363953815,5.224940191045253
19,0.03536881549883866,0.0027230978517977875,0.017804541343537882,2.4083189157584597,1.6733200530681511,3.605551275463989
20,0.03536881549883866,0.0005842480952652071,0.020011750087662903,3.2093613071762426,2.6076809620810595,3.3466401061363023
21,0.03536881549883866,8.938844166272043e-05,0.01524029699902365,4.764451699828638,4.147288270665545,2.9664793948382653
22,0.03536881549883866,0.0005156630666492821,0.023255700838976497,4.277849927241487,3.0331501776206204,2.1908902300206647
23,0.03536881549883866,0.00021531432899810445,0.029806179739803644,3.6469165057620945,1.6733200530681511,0.8944271909999159
24,0.03536881549883866,0.0017264879314921816,0.02448788073273236,3.130495168499705,2.8635642126552705,2.280350850198276
25,0.03503983897308598,0.00017758396815325113,0.0220134374619102,4.604345773288536,2.588435821108957,2.588435821108957
26,0.03503983897308598,0.0008805608331414362,0.030308435073632196,7.049822692805827,1.224744871391589,1.2247448713915892
27,0.03503983897308598,0.0008634277399029876,0.02238433961926575,4.969909455915671,1.4142135623730951,1.6733200530681511
28,0.03503983897308598,0.0005408331997306099,0.03275222633196662,5.585696017507576,1.0,2.489979919597747
29,0.03503983897308598,0.002720101712105841,0.030628460449672056,6.058052492344384,1.6733200530681511,0.8944271909999159
30,0.03503983897308598,0.00029858391532073267,0.02385415146963559,7.245688373094719,1.7888543819998317,1.6733200530681511
