,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.060639846171130274,4.348284267258873e-06,0.012272477671756422,0.0,0.0,0.0
1,1,0.061867576113875576,0.0002219600448587548,0.019562775379815513,0.6,4.0,11.2
2,2,0.07822085680960159,7.18551057272206e-05,0.02373316476323334,2.4,3.4,12.2
3,3,0.08999079289039849,0.0001350045624429795,0.027799855999059264,3.0,3.0,12.6
4,4,0.10316093921508566,0.00017029853413926837,0.03215847940014653,3.0,3.8,11.8
5,5,0.10316093921508566,2.7422083001241435e-05,0.03744021510047217,6.0,5.2,9.6
6,6,0.10805517783345905,0.00013261023112104902,0.04659186078300144,7.8,4.4,9.2
7,7,0.115260038174771,0.0002137963255837553,0.054215194474480664,11.0,5.0,9.8
8,8,0.11622558795525992,0.0002892038236521605,0.060025414804903574,10.8,4.8,8.0
9,9,0.11622558795525992,0.00018861229426650697,0.06915648468193028,16.2,6.4,8.8
10,10,0.12622913001408603,0.002287791036614729,0.07970225118191777,16.4,8.6,6.6
11,11,0.12622913001408603,0.001791917770510148,0.08162350143861356,17.4,8.0,6.0
12,12,0.13306388688733659,0.00011905645748231305,0.08138335927219514,15.6,7.8,7.4
13,13,0.13306388688733659,0.0015542140285618982,0.08446874476385781,14.2,7.4,6.6
14,14,0.13306388688733659,0.0002788951997677798,0.08631522401865756,13.8,7.6,6.4
15,15,0.13306388688733659,0.0013841197745452923,0.08678650223834572,17.2,9.0,5.8
16,16,0.13306388688733659,0.0006555299840931481,0.09306256690466073,19.2,8.4,4.8
17,17,0.13306388688733659,0.0018053818916953005,0.09307527828176937,18.6,6.6,6.6
18,18,0.1342030883559035,0.001075548034101339,0.09607956689888744,19.2,9.6,5.6
19,19,0.1342030883559035,0.0016663021103340357,0.09846709791566696,21.6,8.6,5.0
20,20,0.1342030883559035,0.0007870993604220146,0.10610683443723803,20.4,8.6,5.8
21,21,0.1342030883559035,0.00011025924873358024,0.10747409905837176,23.2,9.2,5.6
22,22,0.1342030883559035,0.0004562588480107515,0.1078044172480553,24.4,9.2,4.4
23,23,0.1342030883559035,0.00023138722457620564,0.1100126922227598,25.6,9.6,3.6
24,24,0.1342030883559035,0.0009421607288297889,0.11220372328226855,26.4,10.2,4.2
25,25,0.14279975562402425,0.00019964942095922422,0.11021918306470165,24.8,12.8,3.2
26,26,0.14279975562402425,0.000756706259767892,0.11405512080625628,24.8,10.0,4.0
27,27,0.14279975562402425,0.0005583741044682418,0.10700263581593435,23.8,10.0,4.4
28,28,0.14279975562402425,0.00034051281916026415,0.11161145635933742,24.8,9.0,5.8
29,29,0.14279975562402425,0.0015237194313353617,0.1100741994573882,22.8,9.6,4.4
30,30,0.14279975562402425,0.0002710372832818696,0.11284316773952283,23.0,10.8,5.6
