,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.14938416615426214,0.045232104939798255,0.09186448507610614,0.0,0.0,0.0
1,1,0.15415648364265572,0.04951045079004938,0.09381701390365729,0.4,5.8,12.2
2,2,0.15811393331945806,0.04988126241795201,0.09634715722668326,0.8,6.0,12.4
3,3,0.1545915336193832,0.051690135048338116,0.09966369325372827,0.6,6.8,12.0
4,4,0.1413891759102868,0.05833703010144857,0.09863414680360563,1.0,8.0,11.2
5,5,0.16398819392916042,0.05130259189026985,0.10032474977084962,1.0,7.0,12.6
6,6,0.16015006959963615,0.055508909773385504,0.10087025009333488,1.4,5.8,12.6
7,7,0.16114566324018947,0.0560440539208269,0.10435299666125752,2.2,4.4,11.2
8,8,0.15562758216738815,0.05854990509574035,0.10325586239838844,1.4,6.2,10.6
9,9,0.14963166539605094,0.060929289687405686,0.10613668142660179,2.8,5.6,11.6
10,10,0.15444489643273654,0.05954458322655397,0.11055553927763764,2.0,7.6,10.4
11,11,0.15575399771147494,0.05755029366450194,0.11182220456765946,1.8,10.6,7.4
12,12,0.15488572337013207,0.06979817528773627,0.11322232511549157,2.8,8.6,10.6
13,13,0.15303553372193393,0.059113764402678216,0.11216970458001589,2.2,9.6,9.6
14,14,0.15081164843483072,0.06599965906173538,0.11123173855700612,2.0,9.0,9.8
15,15,0.14720498135265833,0.0676487651314289,0.11218168691801984,2.2,9.0,9.4
16,16,0.1594660699102024,0.06524001332824772,0.11333672326392383,3.6,8.2,9.0
17,17,0.1488959364719375,0.05773012974472232,0.1101314274980977,3.0,7.8,13.4
18,18,0.145466043375219,0.06318259721117939,0.10943417453510489,3.2,8.2,11.4
19,19,0.15828963397699067,0.06661818386479541,0.11257898395429036,2.4,9.2,9.6
20,20,0.1490604468367837,0.06807464968777234,0.11509090457997924,2.8,9.8,8.2
21,21,0.15382334324331373,0.06690929322841895,0.11697407315489279,4.4,8.2,9.0
22,22,0.14776231600683692,0.07040403963761865,0.11403589720841864,4.8,8.6,9.4
23,23,0.14229947843457863,0.07368333024888878,0.11419899061561471,2.0,9.6,8.8
24,24,0.13172535068862734,0.06675021922297138,0.11283723445354732,3.4,10.8,8.4
25,25,0.1333919793777564,0.06869801853720733,0.11117363039273154,4.4,9.8,9.0
26,26,0.14466157144576525,0.07261122113394418,0.11436284403283943,3.8,12.2,8.2
27,27,0.1404698848163774,0.058751737828370086,0.11258775798814591,2.4,9.8,9.4
28,28,0.1376429429853649,0.06514641495952982,0.11359339781067088,3.2,9.0,7.4
29,29,0.1403619110655589,0.06402703637957083,0.11401436371098228,3.8,10.2,7.4
30,30,0.1502639456021321,0.06937820722998939,0.11541262272922906,3.8,8.4,9.2
