,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.14960796968257137,0.04771597919635866,0.09300910319972422,0,0,0
0,1,0.13191468843202808,0.0512123538288713,0.09348763891628596,1,4,14
0,2,0.13191468843202808,0.051410635716788486,0.09508563329377294,1,6,14
0,3,0.1904762528286991,0.05522980694649602,0.10275555015343699,0,6,12
0,4,0.14472218371199785,0.05949300995625003,0.10092533095757446,1,7,17
0,5,0.1904762528286991,0.060501685836159266,0.10589316411560472,0,2,18
0,6,0.2416202963558672,0.06658428732209391,0.1097808005476713,4,6,12
0,7,0.2416202963558672,0.06301668727036581,0.11173711672589488,1,9,9
0,8,0.2416202963558672,0.057394770541462255,0.11216382398114914,1,8,10
0,9,0.2416202963558672,0.06181695652950598,0.10939968057648686,1,5,11
0,10,0.2416202963558672,0.06388086891961936,0.11712452455200002,1,3,9
0,11,0.2416202963558672,0.05642310598182342,0.11993040723568422,6,6,12
0,12,0.18709459325347647,0.06266442791680259,0.11267548135446409,5,6,14
0,13,0.2416202963558672,0.06773863735990332,0.11854724838564361,4,9,9
0,14,0.18709459325347647,0.05980971360113177,0.11507200020924485,6,8,10
0,15,0.15157830005633377,0.06294917231661497,0.10862368414259935,5,6,14
0,16,0.18709459325347647,0.0675307957039124,0.12000470640168734,5,8,6
0,17,0.2416202963558672,0.05642310598182342,0.12066621479142886,3,4,12
0,18,0.2416202963558672,0.0617096585071123,0.12740009335642577,2,4,12
0,19,0.2416202963558672,0.07771396906912167,0.13636146748201033,9,4,12
0,20,0.2416202963558672,0.06636851428541213,0.13500543310332358,6,6,10
0,21,0.2416202963558672,0.06636851428541213,0.13487252775281008,5,8,14
0,22,0.2416202963558672,0.05642310598182342,0.13292501947929097,2,4,18
0,23,0.2416202963558672,0.06741722761930508,0.12856835509327236,1,2,14
0,24,0.18709459325347647,0.059605196517289405,0.11806913281265743,2,6,18
0,25,0.18709459325347647,0.05673450143144472,0.1263181432493844,2,8,10
0,26,0.18709459325347647,0.06367833811422739,0.1278266493808138,4,8,14
0,27,0.1904762528286991,0.059605196517289405,0.12782143461008483,4,2,12
0,28,0.2416202963558672,0.059605196517289405,0.1391934485225665,4,10,10
0,29,0.18709459325347647,0.07034575421206254,0.14737263116798244,3,8,10
0,30,0.18709459325347647,0.057403002671932685,0.1445498115280291,3,3,11
