,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decepcao
0,0,0.15618704480046758,0.048372814066584946,0.09152391871743795,0.0,0.0,0.0
1,1,0.13894263716707256,0.053345057393198406,0.09287920034772439,0.4,4.8,13.2
2,2,0.15561601973809056,0.05237151848223306,0.09752117556570936,0.8,8.0,9.2
3,3,0.17319359839391163,0.050940025085952925,0.10017095125640921,1.4,4.4,14.0
4,4,0.14871550300835784,0.05544850324849569,0.10004074761479727,1.2,5.8,14.6
5,5,0.1599913261021219,0.05877956828130364,0.10258352332932219,1.0,6.4,12.0
6,6,0.17876909633036098,0.05828664397754624,0.10512409264897227,1.8,6.2,12.6
7,7,0.17837266060132034,0.06048927995835453,0.10676954122419473,1.6,6.6,12.2
8,8,0.17502127161527908,0.05641594269773017,0.10560684644011513,0.8,7.4,12.2
9,9,0.17672422984844754,0.05645895046705558,0.10656741065273037,1.0,4.6,12.6
10,10,0.18877349437958638,0.05621558071848045,0.10757275853179811,0.6,6.4,12.4
11,11,0.1688993623809095,0.05926355771441939,0.10985301680822605,2.2,5.4,12.2
12,12,0.1640955694871915,0.06061562170291127,0.10960048941286142,3.2,7.4,11.4
13,13,0.1737711638609149,0.062446412943813104,0.11021899676686724,2.4,8.2,10.2
14,14,0.15440138555518146,0.06745517549208921,0.11161206059182831,3.6,8.0,10.0
15,15,0.15592770265968564,0.06326167948811844,0.11271034166412772,3.4,7.6,9.2
16,16,0.16125771085783028,0.06746475547069149,0.116248300931133,2.8,8.0,8.4
17,17,0.17480734160752628,0.05853073028870057,0.11832543920405399,2.0,6.6,11.4
18,18,0.19369750677147574,0.06587874561455226,0.11823330316789316,1.8,7.0,11.8
19,19,0.1827568197413131,0.06381490167768608,0.121771406784586,4.2,6.8,11.2
20,20,0.18166995614918804,0.05952340512600017,0.1213762616887851,4.0,7.6,9.2
21,21,0.17581431661444819,0.06411729471295972,0.12540729874319997,5.0,10.0,8.8
22,22,0.17302570804439527,0.06567575382587101,0.12639544087721485,2.8,7.4,11.0
23,23,0.17933203947672868,0.06585304482392693,0.12693297676145623,3.0,7.6,8.8
24,24,0.1617523993717903,0.06393940214236891,0.1264862495201638,4.0,8.4,10.4
25,25,0.16239233504917613,0.06376319261046265,0.12920665638172957,4.6,8.6,9.0
26,26,0.16418974415748694,0.058272934348826765,0.1276993184678335,5.2,9.6,10.0
27,27,0.16346797541416583,0.055649804003150914,0.12876861561731504,2.4,9.2,8.0
28,28,0.17043131569403197,0.06437874317277237,0.1354137816396226,4.4,10.4,6.4
29,29,0.17248751198500792,0.08072214314429496,0.13903918444641677,5.4,10.4,6.4
30,30,0.1721796902505784,0.06832774419381016,0.13679767149311042,4.2,6.2,9.4
